scenario,engine,final_average_stress,final_average_burnout,final_average_productivity,total_turnover,cumulative_burnout,lowest_productivity
Balanced baseline,Custom,0.1443917373379447,0.07813691049412248,0.7584396174306657,4,8.562596206687187,0.651629224357571
Balanced baseline,Mesa,0.18198032511138187,0.0964587251635002,0.7438151264587141,2,7.574842690923339,0.6418893575325759
Supportive management + flexible schedule,Custom,0.0,0.0,0.8716512622198674,0,0.20213537987135013,0.651629224357571
Supportive management + flexible schedule,Mesa,0.0,0.0,0.8627074874331393,0,0.20526935442002717,0.6418893575325759
Authoritarian management + overtime,Custom,0.7798282499279326,0.25654782480628285,0.227623751991287,132,41.6932153865513,0.14541800084695017
Authoritarian management + overtime,Mesa,0.8285900707096374,0.2024688483291975,0.2439328288487984,121,45.40452644219078,0.15935897097089968
Toxic workplace,Custom,0.8942694687804069,0.3023394536580429,0.18094866308234095,188,50.05006274308915,0.10013298785567924
Toxic workplace,Mesa,0.8766766712887614,0.25822629489085686,0.18485062704233787,185,54.94564405007831,0.13114604165458216
